margin,diff
505,41.41666663
-505,-41.41666663
15,-16.95833333
-15,16.95833333
15,9.27651515
-15,-9.27651515
45,-3.16666666
-45,3.16666666
285,39.66666667
-285,-39.66666667
525,42.83333333
-525,-42.83333333
295,38.24999997
-295,-38.24999997
10,1.4166667
-10,-1.4166667
140,7.68181818
-140,-7.68181818
75,-11.375
-75,11.375
115,26.91666663
-115,-26.91666663
185,-9.9583333
-185,9.9583333
245,20.60984849
-245,-20.60984849
140,28.33333333
-140,-28.33333333
25,11.375
-25,-11.375
155,26.91666663
-155,-26.91666663
385,45.4193723
-385,-45.4193723
145,-16.45075757
-145,16.45075757
20,-20.55762987
-20,20.55762987
85,-0.66350728
-85,0.66350728
435,43.14583338
-435,-43.14583338
70,34.84810606
-70,-34.84810606
65,-5.61666666
-65,5.61666666
105,8.77083333
-105,-8.77083333
60,8.0094697
-60,-8.0094697
595,61.54318187
-595,-61.54318187
235,36.64853897
-235,-36.64853897
560,44.12083337
-560,-44.12083337
410,25.92677049
-410,-25.92677049
115,26.69507581
-115,-26.69507581
20,-5.36914062
-20,5.36914062
70,28.56709957
-70,-28.56709957
5,-8.10732605
-5,8.10732605
330,49.73750003
-330,-49.73750003
330,18.39734849
-330,-18.39734849
5,-2.64032908
-5,2.64032908
120,37.31204625
-120,-37.31204625
230,0.97916667
-230,-0.97916667
280,25.4375
-280,-25.4375
5,-17.9972944
-5,17.9972944
420,18.79861111
-420,-18.79861111
445,44.12310611
-445,-44.12310611
155,19.95151515
-155,-19.95151515
185,21.53679654
-185,-21.53679654
155,21.43894019
-155,-21.43894019
215,31.74020563
-215,-31.74020563
90,19.58035714
-90,-19.58035714
15,13.3598485
-15,-13.3598485
105,29.78598488
-105,-29.78598488
75,40.51103896
-75,-40.51103896
340,23.56547624
-340,-23.56547624
5,12.76596321
-5,-12.76596321
70,26.78704625
-70,-26.78704625
205,22.79717092
-205,-22.79717092
170,-11.78869048
-170,11.78869048
125,39.53187229
-125,-39.53187229
440,30.76325761
-440,-30.76325761
65,-3.99855981
-65,3.99855981
110,22.58630957
-110,-22.58630957
95,-7.98843514
-95,7.98843514
350,63.09734853
-350,-63.09734853
140,7.79166666
-140,-7.79166666
205,9.22646107
-205,-9.22646107
45,0.97727273
-45,-0.97727273
310,30.78560606
-310,-30.78560606
25,6.4625
-25,-6.4625
355,20.55952381
-355,-20.55952381
35,-10.20562774
-35,10.20562774
45,31.3571429
-45,-31.3571429
5,-5.34810606
-5,5.34810606
335,18.97424242
-335,-18.97424242
285,8.39583333
-285,-8.39583333
350,58.7583333
-350,-58.7583333
340,37.58704624
-340,-37.58704624
425,51.10371293
-425,-51.10371293
435,47.60416667
-435,-47.60416667
255,19.19166667
-255,-19.19166667
375,65.31204627
-375,-65.31204627
160,22.60416667
-160,-22.60416667
25,-6.75
-25,6.75
130,37.70833333
-130,-37.70833333
60,-11.52916667
-60,11.52916667
35,35.98333336
-35,-35.98333336
300,21.66621291
-300,-21.66621291
40,-10.9375
-40,10.9375
30,4.2583333
-30,-4.2583333
305,7.02037957
-305,-7.02037957
25,8.6995463
-25,-8.6995463
205,36.10787958
-205,-36.10787958
530,49.08333333
-530,-49.08333333
370,31.47454624
-370,-31.47454624
55,-1.47916666
-55,1.47916666
365,31.47454624
-365,-31.47454624
345,36.25371291
-345,-36.25371291
500,65.0083333
-500,-65.0083333
35,0.4375
-35,-0.4375
60,21.66621291
-60,-21.66621291
205,22.60416667
-205,-22.60416667
145,6.75
-145,-6.75
175,62.04121293
-175,-62.04121293
550,41.96666663
-550,-41.96666663
35,11.52916667
-35,-11.52916667
195,30.68795376
-195,-30.68795376
125,0.14583333
-125,-0.14583333
150,14.20833334
-150,-14.20833334
100,-7.02037957
-100,7.02037957
345,26.05787957
-345,-26.05787957
270,-4.2583333
-270,4.2583333
80,24.45416669
-80,-24.45416669
145,-4.75
-145,4.75
90,14.68287957
-90,-14.68287957
155,15.75462039
-155,-15.75462039
110,18.39537957
-110,-18.39537957
285,-12.9578796
-285,12.9578796
110,-6.25
-110,6.25
40,9.60416667
-40,-9.60416667
90,7.6625
-90,-7.6625
10,4.60416667
-10,-4.60416667
360,11.49628709
-360,-11.49628709
220,9.45833334
-220,-9.45833334
15,-8.6995463
-15,8.6995463
340,11.375
-340,-11.375
125,1.67083334
-125,-1.67083334
100,4.88333333
-100,-4.88333333
435,37.39848482
-435,-37.39848482
310,33.07310606
-310,-33.07310606
310,33.84810607
-310,-33.84810607
535,39.06931816
-535,-39.06931816
20,28.18977273
-20,-28.18977273
350,41.86287882
-350,-41.86287882
255,33.84810607
-255,-33.84810607
320,0.22916667
-320,-0.22916667
150,-3.39204543
-150,3.39204543
635,37.20871216
-635,-37.20871216
240,3.68371209
-240,-3.68371209
385,28.18977273
-385,-28.18977273
95,43.15871216
-95,-43.15871216
105,5.626894
-105,-5.626894
180,0.93333333
-180,-0.93333333
185,-0.29166666
-185,0.29166666
250,5.95
-250,-5.95
400,37.53181816
-400,-37.53181816
85,-9.01893943
-85,9.01893943
170,-1.1625
-170,1.1625
30,27.89810607
-30,-27.89810607
210,34.13977273
-210,-34.13977273
400,31.58181816
-400,-31.58181816
75,9.31060609
-75,-9.31060609
115,-9.01893943
-115,9.01893943
80,-3.68371209
-80,3.68371209
135,-0.57638889
-135,0.57638889
205,3.51666666
-205,-3.51666666
140,2.02222222
-140,-2.02222222
85,7.00333412
-85,-7.00333412
200,11.07083333
-200,-11.07083333
20,-1.49444444
-20,1.49444444
160,11.64722222
-160,-11.64722222
225,7.55416667
-225,-7.55416667
155,8.13055556
-155,-8.13055556
265,9.04861111
-265,-9.04861111
225,-1.49444444
-225,1.49444444
120,-21.55888968
-120,21.55888968
155,8.13055556
-155,-8.13055556
335,-11.93388968
-335,11.93388968
60,13.42833412
-60,-13.42833412
120,9.625
-120,-9.625
275,-2.90833334
-275,2.90833334
50,-3.51666666
-50,3.51666666
190,28.99954624
-190,-28.99954624
45,13.39583334
-45,-13.39583334
190,15.37083334
-190,-15.37083334
55,-35.25833334
-55,35.25833334
230,31.35732606
-230,-31.35732606
310,44.93749997
-310,-44.93749997
265,53.45371293
-265,-53.45371293
170,26.7625
-170,-26.7625
175,8.49583334
-175,-8.49583334
165,-17.96149272
-165,17.96149272
360,24.45416669
-360,-24.45416669
15,-29.56666663
-15,29.56666663
135,-3.588961
-135,3.588961
240,28.39583334
-240,-28.39583334
515,60.49954627
-515,-60.49954627
40,9.90878709
-40,-9.90878709
