win,diff
1,3.87
1,3.87
0,-3.87
1,3.59
1,3.59
0,-3.59
1,4.21
1,4.21
0,-4.21
1,3.51
1,3.51
0,-3.51
1,3.37
1,3.37
0,-3.37
1,1.61
1,1.61
0,-1.61
1,2.37
1,2.37
0,-2.37
1,0.89
1,0.89
0,-0.89
1,1.99
1,1.99
0,-1.99
1,1.43
1,1.43
0,-1.43
1,1.28
1,1.28
0,-1.28
1,1.28
1,1.28
0,-1.28
1,2.03
1,2.03
0,-2.03
1,0.99
1,0.99
0,-0.99
1,0.5
1,0.5
0,-0.5
1,2.45
1,2.45
0,-2.45
1,-0.19
0,0.19
0,0.19
1,1.35
1,1.35
0,-1.35
1,-0.96
0,0.96
0,0.96
1,0.62
1,0.62
0,-0.62
1,0.91
1,0.91
0,-0.91
1,-0.92
0,0.92
0,0.92
1,0.0
1,0.0
0,-0.0
0,-0.0
1,-0.94
0,0.94
0,0.94
1,-0.53
0,0.53
0,0.53
1,-1.02
0,1.02
0,1.02
1,-0.43
0,0.43
0,0.43
1,0.32
1,0.32
0,-0.32
1,0.77
1,0.77
0,-0.77
1,-0.73
0,0.73
0,0.73
1,-0.05
0,0.05
0,0.05
1,0.7
1,0.7
0,-0.7
1,0.38
1,0.38
0,-0.38
1,-1.74
0,1.74
0,1.74
1,-0.34
0,0.34
0,0.34
1,2.37
1,2.37
0,-2.37
1,-1.95
0,1.95
0,1.95
1,2.36
1,2.36
0,-2.36
1,2.25
1,2.25
0,-2.25
1,2.05
1,2.05
0,-2.05
1,0.43
1,0.43
0,-0.43
1,3.55
1,3.55
0,-3.55
1,2.35
1,2.35
0,-2.35
1,-0.02
0,0.02
0,0.02
1,-1.25
0,1.25
0,1.25
1,0.49
1,0.49
0,-0.49
1,0.29
1,0.29
0,-0.29
1,0.22
1,0.22
0,-0.22
1,-1.46
0,1.46
0,1.46
1,-0.5
0,0.5
0,0.5
1,2.17
1,2.17
0,-2.17
1,2.83
1,2.83
0,-2.83
1,1.61
1,1.61
0,-1.61
1,0.16
1,0.16
0,-0.16
1,-0.05
0,0.05
0,0.05
1,2.83
1,2.83
0,-2.83
1,1.13
1,1.13
0,-1.13
1,1.36
1,1.36
0,-1.36
